year,month,X1,X2,X3,X4,X5,Y
2016,1,10.52,7.82,25.06,9.13,3.57,7.48
2016,2,12.02,7.36,26.31,9.7,2.82,9.45
2016,3,12.21,5.95,25.45,10.96,3.69,9.88
2016,4,12.49,5.29,27.12,9.58,3.81,9.08
2016,5,13.78,4.98,26.44,7.2,3.79,7.85
2016,6,13.31,7.32,26.12,8.23,4.06,8.38
2016,7,10.93,8.17,22.34,8.12,3.94,7.71
2016,8,10.56,7.18,22.54,9.53,3.77,7.96
2016,9,9.14,6.86,21.86,9.17,3.51,5.85
2016,10,8.02,5.17,18.69,9.74,2.72,3.63
2016,11,9.17,5.09,19.72,7.43,3.77,2.57
2016,12,11.05,8.23,20.01,6.94,3.67,3.86
2017,1,11.05,9.87,23.33,8.92,3.71,7.8
2017,2,13.6,8.34,25.87,9.67,2.95,9.52
2017,3,11.18,5.04,27.8,12.18,3.05,10.42
2017,4,14.28,4.78,26.82,8.84,4.13,7.34
2017,5,13.37,6.76,28.03,7.1,3.59,8.29
2017,6,12.17,7.4,23.97,7.55,3.96,7.18
2017,7,11.24,9.02,22.2,9.12,3.64,7.03
2017,8,8.34,8.34,22.39,10.68,3.65,7.73
2017,9,8.86,5.54,21.79,9.98,4.11,5.68
2017,10,9.0,5.19,21.02,9.14,3.39,3.93
2017,11,10.25,4.21,19.43,8.41,3.7,2.73
2017,12,9.58,7.36,22.56,8.04,3.43,4.1
2018,1,10.61,8.75,22.9,9.96,3.45,6.67
2018,2,12.12,7.28,26.42,10.22,3.53,8.56
2018,3,14.19,7.23,27.26,9.9,3.8,10.45
2018,4,14.07,4.52,26.41,8.78,3.46,10.33
2018,5,13.06,6.04,26.48,7.19,4.33,8.16
2018,6,13.0,8.2,24.89,7.92,3.26,7.92
2018,7,11.43,9.91,24.44,7.72,3.63,8.12
2018,8,10.89,7.31,24.01,11.71,3.51,7.31
2018,9,8.65,7.1,21.02,10.54,4.46,5.6
2018,10,8.63,5.53,22.15,8.63,3.84,3.75
2018,11,8.93,5.86,21.57,6.5,4.27,2.87
2018,12,9.0,8.55,22.46,6.06,3.02,4.41
2019,1,11.68,9.32,24.69,9.54,3.9,7.82
2019,2,12.91,7.96,25.31,10.75,4.22,10.0
2019,3,13.64,6.59,26.94,9.81,3.83,10.05
2019,4,13.8,5.44,26.75,8.08,4.32,9.87
2019,5,12.53,6.67,29.56,7.03,3.54,9.16
2019,6,12.43,8.82,26.59,8.45,4.51,8.3
2019,7,11.26,10.3,24.4,8.84,4.97,8.28
2019,8,9.65,7.73,23.86,9.71,3.64,8.0
2019,9,9.27,7.98,22.49,10.6,3.61,6.05
2019,10,9.4,4.65,22.03,8.86,4.57,4.56
2019,11,10.93,6.66,23.32,5.44,4.64,3.75
2019,12,10.49,8.93,24.61,7.3,3.59,5.87
2020,1,11.83,9.67,24.87,8.92,3.65,8.09
2020,2,12.83,8.25,26.37,11.31,3.73,9.77
2020,3,12.28,6.73,27.82,12.13,3.21,10.75
2020,4,14.14,5.68,26.25,9.9,3.43,8.94
2020,5,13.89,6.55,26.68,7.2,3.39,9.16
2020,6,14.92,9.23,28.52,6.62,3.52,7.88
2020,7,11.56,9.86,27.34,10.94,3.89,10.05
2020,8,10.72,8.36,24.0,10.92,4.04,7.89
2020,9,9.55,7.54,23.78,10.9,4.7,5.91
2020,10,8.32,6.31,23.16,9.15,3.44,4.33
2020,11,10.52,7.54,26.38,7.59,4.44,3.13
2020,12,11.14,9.25,25.57,7.36,3.85,5.68
2021,1,12.43,9.3,25.87,8.8,3.94,8.26
2021,2,12.34,8.59,26.59,10.56,4.31,9.9
2021,3,15.12,7.6,27.09,10.93,3.41,10.39
2021,4,13.22,6.64,29.35,8.85,4.18,11.0
2021,5,14.49,7.19,28.04,7.01,4.08,9.37
2021,6,14.88,9.1,26.33,7.59,4.25,8.87
2021,7,11.1,10.72,25.65,9.08,4.15,9.18
2021,8,10.2,8.72,23.77,12.05,5.24,8.33
2021,9,9.83,7.63,25.49,9.16,3.71,6.39
2021,10,9.03,6.3,24.33,10.05,3.77,4.41
2021,11,8.54,7.22,23.89,8.44,3.73,3.33
2021,12,10.77,9.83,26.53,6.13,3.77,3.82
2022,1,11.13,10.6,26.68,9.08,3.74,8.53
2022,2,13.62,9.71,27.29,10.8,4.66,10.47
2022,3,13.44,8.23,30.82,10.09,4.78,11.05
2022,4,15.76,6.59,30.29,8.81,3.79,10.94
2022,5,13.58,7.91,28.36,6.85,3.67,8.92
2022,6,13.05,9.14,28.16,8.86,4.33,8.03
2022,7,12.72,10.44,26.02,10.03,3.83,8.62
2022,8,9.85,9.3,24.07,12.01,4.43,8.89
2022,9,10.12,7.66,25.33,11.64,4.22,6.82
2022,10,10.66,7.08,25.96,8.62,3.37,4.43
2022,11,8.68,7.16,23.1,7.32,4.91,4.79
2022,12,11.04,10.73,26.21,8.04,5.04,4.81
2023,1,12.37,9.8,26.55,8.58,3.85,8.64
2023,2,14.05,8.8,28.26,11.68,3.97,10.7
2023,3,13.37,8.44,29.31,11.02,4.31,11.09
2023,4,13.65,7.35,29.49,9.21,4.34,9.46
2023,5,14.8,8.17,30.05,8.25,4.51,9.57
2023,6,13.72,10.0,28.12,8.07,5.2,9.6
2023,7,12.45,10.54,27.77,9.25,4.11,9.06
2023,8,11.29,9.14,26.0,12.05,3.81,8.82
2023,9,9.57,7.95,24.76,10.5,3.53,6.69
2023,10,9.98,6.62,23.74,9.96,3.86,4.68
2023,11,10.38,8.54,24.53,8.22,4.22,3.59
2023,12,10.5,9.69,27.01,7.6,5.14,5.32
2024,1,13.83,10.2,28.3,9.79,3.99,8.23
2024,2,13.98,9.63,28.37,10.43,4.37,11.33
2024,3,13.58,8.3,30.6,11.96,4.26,11.59
2024,4,15.41,6.84,31.7,9.46,4.87,9.86
2024,5,13.79,7.61,28.93,7.5,5.54,9.8
2024,6,14.29,10.07,30.09,8.61,4.02,7.65
2024,7,13.36,11.0,27.44,9.13,4.05,9.78
2024,8,10.54,9.67,27.22,10.38,4.83,8.43
2024,9,11.07,7.92,24.84,10.28,4.65,6.78
2024,10,10.31,7.46,23.45,10.07,5.24,4.77
2024,11,10.98,7.38,24.07,7.03,4.62,3.8
2024,12,12.77,9.23,26.9,9.17,4.16,6.08
2025,1,12.32,10.57,28.66,8.22,4.64,8.17
2025,2,13.18,10.0,29.05,12.61,4.91,11.04
2025,3,14.0,8.54,31.74,11.58,4.77,11.03
2025,4,14.41,8.36,29.89,9.64,4.62,10.58
2025,5,14.68,8.91,31.13,7.61,4.91,9.55
2025,6,14.12,10.13,28.94,8.28,4.97,8.94
2025,7,12.83,11.14,28.05,9.71,5.08,9.84
2025,8,12.04,9.67,27.3,12.25,4.72,8.92
2025,9,10.49,8.49,25.34,11.57,4.32,6.45
2025,10,11.32,7.45,25.47,9.88,4.49,4.84
2025,11,10.29,8.74,27.31,7.79,5.03,5.22
2025,12,13.61,9.88,26.87,8.02,4.02,6.27
